StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;IPOStatus;StartupCountry;Top5Investors
TipRanks;Analytics Finance Financial Services FinTech SEO Software;Santiago Region Metropolitana Chile;TipRanks is a financial accountability platform that ranks financial advice to assess its accuracy;2024-08-15;80000000;3;Secondary Market;Private;CL;PRYTEK Moneta VC Poalim Equity More Investment House John Nakamura
Pomelo;Credit Cards Financial Services FinTech Information Technology;Buenos Aires Distrito Federal Argentina;Pomelo develops a digital processing platform to provide personalized virtual accounts and cards through APIs and dashboards.;2024-01-17;40000000;5;Series B;Private;AR;Sequoia Capital Latitud Insight Partners Tiger Global Management FJ Labs
Galgo;Financial Services FinTech;Santiago Region Metropolitana Chile;Galgo provides consumer secured loans and financial advice to underbanked people;2023-10-10;40000000;6;Venture Series Unknown;Private;CL;Fen Ventures WIND Ventures Nazca Ventures Dalus Capital Kayyak Ventures
InvGate;Asset Management Enterprise Software Information Technology IT Management Software;Buenos Aires Distrito Federal Argentina;InvGate is a leading provider of Enterprise Software for management of IT and the delivery of Internal Business Services.;2023-07-12;35000000;1;Private Equity;Private;AR;Riverwood Capital Endeavor Catalyst
Buk;Document Management Human Resources Productivity Tools SaaS;Santiago Region Metropolitana Chile;Buk is a cloudbased human resource management platform that unifies a wide range of HR functionality into a single system;2023-02-22;35000000;3;Venture Series Unknown;Private;CL;SoftBank Greenoaks Base10 Partners StartUp Chile 9Yards Capital
BioElements;Biotechnology CleanTech GreenTech Sustainability;Santiago Region Metropolitana Chile;BioElements is a biotech and circular economy company that produces sustainable bioplastic for packaging films and bags;2023-01-17;30000000;1;Series A;Private;CL;BTG Pactual
Ceibo;CleanTech GreenTech Mining Mining Technology;Macul Region Metropolitana Chile;Ceibo develops deploys and operate technologies that support the mining industrys ability to deliver the materials required for Net Zero;2023-06-01;30000000;2;Series B;Private;CL;Khosla Ventures Endeavor Catalyst CoTec Energy Impact Partners Bossanova Investimentos
The Wild Foods;Food and Beverage;Santiago Region Metropolitana Chile;The Wild Foods is a FoodTech company that is committed to producing clean nutritious and transparent products;2024-08-24;25000000;3;Series A;Private;CL;Amarena Glisco Partners 30N Ventures
AVLA;Financial Services Insurance;Las Condes Region Metropolitana Chile;AVLA is an insurance group that provides comprehensive financial solutions for SMEs;2024-01-24;25000000;4;Venture Series Unknown;Private;CL;responsAbility Investments KFW DEG Barclays Investment Bank Creation Investments Capital Management LLC FinDev Canada
Tapi;FinTech Information Technology Payments;Buenos Aires Distrito Federal Argentina;Tapi is a fintech firm that helps and supports companies provide simple and regional payment solutions.;2024-07-12;22000000;2;Series A;Private;AR;Andreessen Horowitz Kaszek Newtopia VC H20 Capital
Aligned Layer;Cryptocurrency;Buenos Aires Distrito Federal Argentina;Universal Verification Layer for Ethereum using Eigenlayer;2024-04-25;20000000;2;Series A;Private;AR;StarkWare Industries Hack VC Lemniscap o1Labs Bankless Ventures
Flybondi.com;Aerospace Air Transportation;Buenos Aires Distrito Federal Argentina;Flybondi.com is an airline company in Argentina.;2023-08-08;17000000;1;Seed;Private;AR;
Agrotoken;Agriculture AgTech Cryptocurrency FinTech Trading Platform;Buenos Aires Distrito Federal Argentina;Agrotoken is a grain-backed transactional digital asset used to save or exchange for supplies services and other assets.;2023-11-08;12500000;2;Seed;Private;AR;Visa Borderless Capital Algorand Bunge Ventures Newtopia VC
PhageLab;Biotechnology Consulting Enterprise Software Medical Pharmaceutical;Santiago Region Metropolitana Chile;Phage Lab is a laboratory dedicated to animal welfare;2024-01-23;11000000;2;Series A;Private;CL;Collaborative Fund StartUp Chile Nazca Ventures Kevin Efrusy Water Lemon Ventures
Destácame;Credit Bureau Financial Services QR Codes;Santiago Region Metropolitana Chile;Destacame is the first behaviorbased credit score in Latin America;2023-02-27;10000000;8;Private Equity;Private;CL;Fen Ventures Accion Venture Lab Catalyst Fund Nazca Ventures Mountain Partners
HealthAtom;Digital Marketing Health Care SaaS Software;Las Condes Region Metropolitana Chile;HealthAtom is a softwareasaservice platform for the healthcare industry;2023-01-06;10000000;1;Series A;Private;CL;Soma Capital FJ Labs Chile Ventures Launchbay Capital Kayyak Ventures
TIMining;Data Integration Software;Santiago Region Metropolitana Chile;TIMining is offers stateoftheart software for the mining industry from load and haul simulation to holographic technology;2023-10-13;10000000;3;Series B;Private;CL;Komatsu Kayyak Ventures Aurus ChileGlobal Ventures Alpha Future Funds
Toku;B2C Financial Services FinTech Information Technology Software;Santiago Region Metropolitana Chile;Payments for subscription companies in Latin America;2024-04-16;9300000;4;Series A;Private;CL;Y Combinator FPrime Capital Wollef Ventures Gradient Edward Lando
Levannta;Financial Services;Santiago Region Metropolitana Chile;We convert future cashflows into liquidity for companies with recurring revenue models;2023-12-23;8000000;4;Debt Financing;Private;CL;Manutara Ventures Ameris Capital
Lemu;;Santiago Region Metropolitana Chile;Lemu is an app to value life on earth;2023-02-22;8000000;2;Series A;Private;CL;
Talana;ESignature Human Resources Information Technology Internet Robotics Software;Santiago Region Metropolitana Chile;Talana is an HCM platform that offers payroll processing digital signature and many more solutions with an easy to use interface;2023-08-30;8000000;2;Venture Series Unknown;Private;CL;Altis Venturance
Botanical Solutions;Agriculture Biotechnology Chemical Farming Manufacturing;Vitacura Region Metropolitana Chile;Botanical Solutions is a startup company that manufactures plantbased active ingredients and products from advanced botanicals;2024-08-20;7600000;5;Series A;Private;CL;The Yield Lab The Yield Lab LATAM Otter Capital The Ganesha Lab Québec
Kilimo;Agriculture CleanTech Farming Software Water;Córdoba Cordoba Argentina;Kilimo is a Big Data solution for water management in agriculture.;2024-06-18;7500000;9;Series A;Private;AR;AgLaunch Accelerator The Yield Lab NXTP Ventures iThink VC Emerald Technology Ventures
Fintoc;Banking FinTech Mobile Apps Mobile Payments;Santiago Region Metropolitana Chile;Fintoc is an API that lets online businesses accept instant payments coming directly from the customer’s bank account;2024-04-25;7000000;3;Series A;Private;CL;Y Combinator Soma Capital Plug and Play monashees Propel
Datamart;Credit Embedded Systems Lending SaaS;Santiago Region Metropolitana Chile;Datamart promotes automated and secure processing of onboarding and lending flows to streamline business processes and contracts;2023-02-27;6565000;1;Seed;Private;CL;Falabella Banco BICE Banco SantanderChile Moonvalley Capital
AgroUrbana;Agriculture AgTech;Santiago Region Metropolitana Chile;Agrourbana is the Vertical Agriculture company;2024-05-18;6000000;4;Series B;Private;CL;Kayyak Ventures Amarena ChileGlobal Ventures Fundación Chile CLIN
Fudo;Management Information Systems Point of Sale Restaurants SaaS Software;Buenos Aires Distrito Federal Argentina;Fudo is a web-based management system for restaurants bars and cafes which allows operation from anywhere at any time.;2023-11-30;5287500;3;Seed;Private;AR;Andreessen Horowitz Latitud Collaborative Fund FJ Labs Goodwater Capital
UcoValley Garlic;Agriculture Artificial Intelligence (AI) Food and Beverage Food Processing Machine Learning;Mendoza Mendoza Argentina;At Uco valley Productions we are building an automatic AI based Inventory tracking application;2023-02-04;5200000;1;Seed;Private;AR;
Zapping TV;Broadcasting Media and Entertainment TV;Santiago Region Metropolitana Chile;Zapping TV is a live tv service in Latin America +80 live tv channels for $15/month;2023-10-24;5000000;2;Seed;Private;CL;Wayra Chile Ventures Mountain Partners
Nilus;Food and Beverage Food Delivery Group Buying Information Technology Retail Technology;Buenos Aires Distrito Federal Argentina;Nilus lowers the cost of access to food & groceries for low-income people by organizing community group buying networks.;2023-12-23;5000000;10;Series A;Private;AR;Village Capital Kiva Plug and Play Google.org Newtopia VC
